"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"162890","3026.381905","163.117.139.71","188.114.96.5","52688","443","TCP","54","539","52688  >  443 [ACK] Seq=1374 Ack=4135 Win=64000 Len=0"
"163268","3036.376096","163.117.139.71","188.114.96.5","52707","443","TCP","66","542","52707  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"163269","3036.395606","188.114.96.5","163.117.139.71","443","52707","TCP","66","542","443  >  52707 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"163270","3036.395757","163.117.139.71","188.114.96.5","52707","443","TCP","54","542","52707  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"163271","3036.396544","163.117.139.71","188.114.96.5","52707","443","TLSv1.3","571","542","Client Hello (SNI=api.llama-api.com)"
"163273","3036.416064","188.114.96.5","163.117.139.71","443","52707","TCP","60","542","443  >  52707 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"163274","3036.420231","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","1514","542","Server Hello, Change Cipher Spec"
"163275","3036.420391","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","1437","542","Application Data"
"163276","3036.420432","163.117.139.71","188.114.96.5","52707","443","TCP","54","542","52707  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"163277","3036.425735","163.117.139.71","188.114.96.5","52707","443","TLSv1.3","134","542","Change Cipher Spec, Application Data"
"163278","3036.426120","163.117.139.71","188.114.96.5","52707","443","TLSv1.3","391","542","Application Data"
"163279","3036.426176","163.117.139.71","188.114.96.5","52707","443","TLSv1.3","300","542","Application Data"
"163280","3036.445661","188.114.96.5","163.117.139.71","443","52707","TCP","60","542","443  >  52707 [ACK] Seq=2844 Ack=1181 Win=131072 Len=0"
"163286","3037.972333","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","1514","542","Application Data"
"163287","3037.972333","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","349","542","Application Data"
"163288","3037.972333","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","88","542","Application Data"
"163289","3037.972333","188.114.96.5","163.117.139.71","443","52707","TLSv1.3","81","542","Application Data"
"163290","3037.972562","163.117.139.71","188.114.96.5","52707","443","TCP","54","542","52707  >  443 [ACK] Seq=1181 Ack=4660 Win=65280 Len=0"
"163291","3037.974542","163.117.139.71","188.114.96.5","52707","443","TCP","54","542","52707  >  443 [FIN, ACK] Seq=1181 Ack=4660 Win=65280 Len=0"
"163292","3037.994995","188.114.96.5","163.117.139.71","443","52707","TCP","60","542","443  >  52707 [FIN, ACK] Seq=4660 Ack=1182 Win=131072 Len=0"
"163293","3037.995186","163.117.139.71","188.114.96.5","52707","443","TCP","54","542","52707  >  443 [ACK] Seq=1182 Ack=4661 Win=65280 Len=0"
"163412","3047.988024","163.117.139.71","188.114.96.5","52718","443","TCP","66","545","52718  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"163414","3048.007699","188.114.96.5","163.117.139.71","443","52718","TCP","66","545","443  >  52718 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"163415","3048.007873","163.117.139.71","188.114.96.5","52718","443","TCP","54","545","52718  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"163416","3048.008887","163.117.139.71","188.114.96.5","52718","443","TLSv1.3","571","545","Client Hello (SNI=api.llama-api.com)"
"163417","3048.028747","188.114.96.5","163.117.139.71","443","52718","TCP","60","545","443  >  52718 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"163418","3048.032473","188.114.96.5","163.117.139.71","443","52718","TLSv1.3","1514","545","Server Hello, Change Cipher Spec"
"163419","3048.032473","188.114.96.5","163.117.139.71","443","52718","TLSv1.3","1437","545","Application Data"
"163420","3048.032631","163.117.139.71","188.114.96.5","52718","443","TCP","54","545","52718  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"163421","3048.038062","163.117.139.71","188.114.96.5","52718","443","TLSv1.3","134","545","Change Cipher Spec, Application Data"
"163422","3048.038427","163.117.139.71","188.114.96.5","52718","443","TLSv1.3","391","545","Application Data"
"163423","3048.038470","163.117.139.71","188.114.96.5","52718","443","TLSv1.3","312","545","Application Data"
"163424","3048.058352","188.114.96.5","163.117.139.71","443","52718","TCP","60","545","443  >  52718 [ACK] Seq=2844 Ack=935 Win=131072 Len=0"
"163425","3048.098773","188.114.96.5","163.117.139.71","443","52718","TCP","60","545","443  >  52718 [ACK] Seq=2844 Ack=1193 Win=131072 Len=0"
"163446","3049.652692","188.114.96.5","163.117.139.71","443","52718","TLSv1.3","860","545","Application Data, Application Data"
"163447","3049.652692","188.114.96.5","163.117.139.71","443","52718","TLSv1.3","463","545","Application Data"
"163448","3049.652692","188.114.96.5","163.117.139.71","443","52718","TLSv1.3","81","545","Application Data"
"163449","3049.652824","163.117.139.71","188.114.96.5","52718","443","TCP","54","545","52718  >  443 [ACK] Seq=1193 Ack=4086 Win=64256 Len=0"
"163450","3049.654400","163.117.139.71","188.114.96.5","52718","443","TCP","54","545","52718  >  443 [FIN, ACK] Seq=1193 Ack=4086 Win=64256 Len=0"
"163451","3049.674269","188.114.96.5","163.117.139.71","443","52718","TCP","60","545","443  >  52718 [FIN, ACK] Seq=4086 Ack=1194 Win=131072 Len=0"
"163452","3049.674376","163.117.139.71","188.114.96.5","52718","443","TCP","54","545","52718  >  443 [ACK] Seq=1194 Ack=4087 Win=64256 Len=0"
"163547","3059.668215","163.117.139.71","188.114.96.5","52729","443","TCP","66","547","52729  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"163548","3059.687818","188.114.96.5","163.117.139.71","443","52729","TCP","66","547","443  >  52729 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"163549","3059.688002","163.117.139.71","188.114.96.5","52729","443","TCP","54","547","52729  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"163550","3059.688954","163.117.139.71","188.114.96.5","52729","443","TLSv1.3","571","547","Client Hello (SNI=api.llama-api.com)"
"163551","3059.708643","188.114.96.5","163.117.139.71","443","52729","TCP","60","547","443  >  52729 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"163552","3059.713692","188.114.96.5","163.117.139.71","443","52729","TLSv1.3","1514","547","Server Hello, Change Cipher Spec"
"163553","3059.713692","188.114.96.5","163.117.139.71","443","52729","TLSv1.3","1438","547","Application Data"
