"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"602984","14066.182172","160.79.104.10","192.168.1.37","443","51029","TLSv1.3","1506","5265","Application Data"
"602985","14066.182172","160.79.104.10","192.168.1.37","443","51029","TLSv1.3","125","5265","Application Data"
"602986","14066.182172","160.79.104.10","192.168.1.37","443","51029","TLSv1.3","673","5265","Application Data"
"602987","14066.182172","160.79.104.10","192.168.1.37","443","51029","TLSv1.3","81","5265","Application Data"
"602988","14066.182256","192.168.1.37","160.79.104.10","51029","443","TCP","54","5265","51029  >  443 [ACK] Seq=1659 Ack=5026 Win=65280 Len=0"
"603135","14076.206191","192.168.1.37","160.79.104.10","51029","443","TCP","54","5265","51029  >  443 [FIN, ACK] Seq=1659 Ack=5026 Win=65280 Len=0"
"603136","14076.207493","192.168.1.37","160.79.104.10","51031","443","TCP","66","5266","51031  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"603137","14076.213920","160.79.104.10","192.168.1.37","443","51031","TCP","66","5266","443  >  51031 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"603138","14076.213920","160.79.104.10","192.168.1.37","443","51029","TCP","60","5265","443  >  51029 [FIN, ACK] Seq=5026 Ack=1660 Win=73728 Len=0"
"603139","14076.214004","192.168.1.37","160.79.104.10","51029","443","TCP","54","5265","51029  >  443 [ACK] Seq=1660 Ack=5027 Win=65280 Len=0"
"603140","14076.214054","192.168.1.37","160.79.104.10","51031","443","TCP","54","5266","51031  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"603141","14076.214462","192.168.1.37","160.79.104.10","51031","443","TLSv1.3","571","5266","Client Hello (SNI=api.anthropic.com)"
"603144","14076.222356","160.79.104.10","192.168.1.37","443","51031","TCP","60","5266","443  >  51031 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"603145","14076.227049","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","1506","5266","Server Hello, Change Cipher Spec"
"603146","14076.227049","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","1458","5266","Application Data"
